DATE,COUNTY,AGE_GROUP,CASE_COUNT
2020-06-12,Anderson,0-10 years,1
2020-06-12,Anderson,11-20 years,3
2020-06-12,Anderson,21-30 years,10
2020-06-12,Anderson,31-40 years,8
2020-06-12,Anderson,41-50 years,7
2020-06-12,Anderson,51-60 years,9
2020-06-12,Anderson,61-70 years,12
2020-06-12,Anderson,71-80 years,5
2020-06-12,Anderson,81+ years,1
2020-06-12,Bedford,0-10 years,14
2020-06-12,Bedford,11-20 years,39
2020-06-12,Bedford,21-30 years,87
2020-06-12,Bedford,31-40 years,96
2020-06-12,Bedford,41-50 years,57
2020-06-12,Bedford,51-60 years,51
2020-06-12,Bedford,61-70 years,23
2020-06-12,Bedford,71-80 years,5
2020-06-12,Bedford,81+ years,4
2020-06-12,Benton,21-30 years,1
2020-06-12,Benton,51-60 years,2
2020-06-12,Benton,61-70 years,3
2020-06-12,Benton,71-80 years,2
2020-06-12,Bledsoe,11-20 years,7
2020-06-12,Bledsoe,21-30 years,120
2020-06-12,Bledsoe,31-40 years,167
2020-06-12,Bledsoe,41-50 years,155
2020-06-12,Bledsoe,51-60 years,107
2020-06-12,Bledsoe,61-70 years,42
2020-06-12,Bledsoe,71-80 years,9
2020-06-12,Bledsoe,81+ years,4
2020-06-12,Bledsoe,Pending,3
2020-06-12,Blount,0-10 years,3
2020-06-12,Blount,11-20 years,6
2020-06-12,Blount,21-30 years,12
2020-06-12,Blount,31-40 years,13
2020-06-12,Blount,41-50 years,13
2020-06-12,Blount,51-60 years,27
2020-06-12,Blount,61-70 years,14
2020-06-12,Blount,71-80 years,8
2020-06-12,Blount,81+ years,3
2020-06-12,Bradley,0-10 years,15
2020-06-12,Bradley,11-20 years,23
2020-06-12,Bradley,21-30 years,64
2020-06-12,Bradley,31-40 years,44
2020-06-12,Bradley,41-50 years,42
2020-06-12,Bradley,51-60 years,33
2020-06-12,Bradley,61-70 years,21
2020-06-12,Bradley,71-80 years,9
2020-06-12,Bradley,81+ years,2
2020-06-12,Bradley,Pending,0
2020-06-12,Campbell,11-20 years,1
2020-06-12,Campbell,21-30 years,1
2020-06-12,Campbell,41-50 years,6
2020-06-12,Campbell,51-60 years,4
2020-06-12,Campbell,61-70 years,3
2020-06-12,Campbell,71-80 years,3
2020-06-12,Campbell,81+ years,1
2020-06-12,Cannon,11-20 years,5
2020-06-12,Cannon,21-30 years,3
2020-06-12,Cannon,31-40 years,5
2020-06-12,Cannon,41-50 years,6
2020-06-12,Cannon,51-60 years,8
2020-06-12,Cannon,61-70 years,5
2020-06-12,Cannon,81+ years,2
2020-06-12,Carroll,11-20 years,1
2020-06-12,Carroll,21-30 years,2
2020-06-12,Carroll,31-40 years,4
2020-06-12,Carroll,41-50 years,5
2020-06-12,Carroll,51-60 years,6
2020-06-12,Carroll,61-70 years,5
2020-06-12,Carroll,71-80 years,3
2020-06-12,Carroll,81+ years,3
2020-06-12,Carter,0-10 years,1
2020-06-12,Carter,11-20 years,2
