DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSP,TOTAL_HOSP
2020-03-04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,18,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,26,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,32,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,39,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,52,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,73,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,98,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,154,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,228,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2020-03-21,371,143,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
2020-03-22,505,134,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
2020-03-23,615,110,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA
2020-03-24,667,52,NA,NA,NA,NA,667,10477,11144,NA,0,2,NA,NA,NA,NA,NA,NA
2020-03-25,784,117,NA,NA,NA,NA,784,11012,11796,652,1,3,NA,NA,NA,781,NA,53
2020-03-26,957,173,NA,NA,NA,NA,957,13952,14909,3113,0,3,NA,NA,173,954,23,76
2020-03-27,1203,246,NA,NA,NA,NA,1203,14888,16091,1182,3,6,NA,NA,243,1197,27,103
2020-03-28,1373,170,NA,NA,NA,NA,1373,16965,18338,2247,0,6,NA,NA,170,1367,15,118
2020-03-29,1537,164,NA,NA,NA,NA,1537,19037,20574,2236,1,7,NA,NA,163,1530,15,133
2020-03-30,1834,297,NA,NA,NA,NA,1834,21470,23304,2730,6,13,NA,109,182,1712,15,148
2020-03-31,2239,405,NA,NA,NA,NA,2239,25121,27360,4056,10,23,12,121,383,2095,27,175
2020-04-01,2683,444,NA,NA,NA,NA,2683,29769,32452,5092,1,24,16,137,427,2522,25,200
2020-04-02,2845,162,NA,NA,NA,NA,2845,31766,34611,2159,8,32,83,220,71,2593,63,263
2020-04-03,3067,222,NA,NA,NA,NA,3067,34772,37839,3228,5,37,28,248,189,2782,30,293
2020-04-04,3321,254,NA,NA,NA,NA,3321,38070,41391,3552,6,43,27,275,221,3003,18,311
2020-04-05,3633,312,NA,NA,NA,NA,3633,41667,45300,3909,1,44,20,295,291,3294,17,328
2020-04-06,3802,169,NA,NA,NA,NA,3802,43548,47350,2050,21,65,61,356,87,3381,24,352
2020-04-07,4138,336,NA,NA,NA,NA,4138,48736,52874,5524,7,72,110,466,219,3600,56,408
2020-04-08,4362,224,NA,NA,NA,NA,4362,52256,56618,3744,7,79,126,592,91,3691,41,449
2020-04-09,4634,272,NA,NA,NA,NA,4634,55215,59849,3231,15,94,329,921,-72,3619,56,505
2020-04-10,4862,228,NA,NA,NA,NA,4862,57937,62799,2950,4,98,224,1145,0,3619,31,536
2020-04-11,5114,252,NA,NA,NA,NA,5114,61714,66828,4029,3,101,241,1386,8,3627,20,556
2020-04-12,5308,194,NA,NA,NA,NA,5308,65369,70747,3919,0,101,118,1504,76,3703,11,567
2020-04-13,5610,302,NA,NA,NA,NA,5610,70585,76195,5448,8,109,167,1671,127,3830,12,579
2020-04-14,5823,213,NA,NA,NA,NA,5823,73008,78831,2636,15,124,298,1969,-100,3730,54,633
2020-04-15,6079,256,NA,NA,NA,NA,6079,74817,80896,2065,11,135,227,2196,18,3748,30,663
2020-04-16,6262,183,NA,NA,NA,NA,6262,78787,85049,4153,6,141,590,2786,-413,3335,28,691
2020-04-17,6589,327,NA,NA,NA,NA,6589,80684,87273,2224,1,142,231,3017,95,3430,20,711
2020-04-18,6762,173,NA,NA,NA,NA,6762,83824,90586,3313,3,145,217,3234,-47,3383,8,719
2020-04-19,7070,308,NA,NA,NA,NA,7070,90028,97098,6512,3,148,110,3344,195,3578,5,724
2020-04-20,7238,168,NA,NA,NA,NA,7238,93451,100689,3591,4,152,231,3575,-67,3511,6,730
2020-04-21,7394,156,NA,NA,NA,NA,7394,100788,108182,7493,5,157,253,3828,-102,3409,30,760
2020-04-22,7842,448,NA,NA,NA,NA,7842,107138,114980,6798,9,166,184,4012,255,3664,15,775
